carId,amount
975ea068-5a37-5360-9dcd-8ad8f9b7bdf3,40563.50
4929ff91-7bc0-56ec-8aa5-663ea2aed72e,17073.05
4ccd334c-0bcb-594b-9530-d71a89bb1657,13394.68
a20b5453-2966-59db-9cf3-a42f5466ab94,5443.31
6acdeaea-3816-5afc-a61b-ce7922b8778b,30255.02
e1c28f62-24dd-5fc1-8c42-3953080d431c,23288.69
1616797b-5018-5f1f-90bf-72bd865c3e77,27717.86
11f2f8a7-7e0e-55df-9e3a-78d541d06767,813.18
6a063a9c-23f6-5ce5-b833-06d7c1688858,36344.21
c1fce3aa-2edc-5554-b3a3-e964d229b28a,17740.90
df9824b1-6993-5340-8a97-11420e0501ca,35422.48
e4ed8482-c299-5ffc-a038-5fbc04ad567f,23748.04
975ea068-5a37-5360-9dcd-8ad8f9b7bdf3,46332.93
4836e7c5-22d3-5ace-852b-4d66221f7348,40359.47
f89983c0-22cd-5097-b27b-a7045d1df815,26705.80
7b846a08-e2cc-5721-b829-7f33d5aad991,48494.80
f0633740-65df-5599-9839-981f659641a7,27661.04
c1fce3aa-2edc-5554-b3a3-e964d229b28a,38798.25
